id;a-10a;A-10C;A-10C II;A-10C II_easy;A-10C_easy;A-4E-C;AJS37;AV8BNA;Bf-109K-4;Bf-109K-4_easy;C-101CC;C-101EB;Christen Eagle II;Default;F-14;F-14_RIO;F-15C;F-16C_50;F-16C_50_easy;F-5E-3;F-5E-3_easy;F-86F;F-86F_easy;FA-18C_hornet;FA-18C_hornet_easy;FW-190A8;FW-190A8_easy;FW-190D9;FW-190D9_easy;ground_unit;I-16;J-11A;JF-17;ka-50;ka-50_easy;L-39C;L-39ZA;M-2000C;mi-8mt;mi-8mt_easy;mi-8mt_Gunner;mi-8mt_TrackIR_Gunner;MiG-15bis;MiG-15bis_easy;MiG-19P;MiG-19P_easy;MiG-21Bis;mig-29;mig-29c;mig-29g;NS430;P-47D-30;P-47D-30_easy;P-51D-30-NA;P-51D-30-NA_easy;SA342;SpitfireLFMkIX;SpitfireLFMkIXCW;SpitfireLFMkIX_easy;su-25;su-25T;su-27;su-33;TF-51D;TF-51D_easy;UH-1H;UH-1H_easy;UH-1H_Gunner;UH-1H_TrackIR_Gunner;UiLayer;Yak-52;Yak-52_easy
dnilp3027unilcd2vdnilvp-0.3vunil;;;;;;;;;;;;;;;;;;YAW TRIM Knob - L/CCW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3027unilcd2vdnilvp0.3vunil;;;;;;;;;;;;;;;;;;YAW TRIM Knob - R/CW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3018pnilunilcd39vd-1vpnilvunil;;;;;;;;;;;;;;;;;;ZEROIZE Switch - DATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3045pnilunilcd39vd-1vpnilvunil;;;;;;;;;;;;;;;;;;ZEROIZE Switch - Down;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3018pnilunilcd39vd0vpnilvunil;;;;;;;;;;;;;;;;;;ZEROIZE Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3018pnilunilcd39vd1vpnilvunil;;;;;;;;;;;;;;;;;;ZEROIZE Switch - OFP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3045pnilunilcd39vd1vpnilvunil;;;;;;;;;;;;;;;;;;ZEROIZE Switch - Up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3017pnilunilcd39vd0vpnilvunil;;;;;;;;;;;;;;;;;;ZEROIZE Switch Cover - CLOSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3017pnilunilcd39vd1vpnilvunil;;;;;;;;;;;;;;;;;;ZEROIZE Switch Cover - OPEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3044pnilunilcd39vd1vpnilvunil;;;;;;;;;;;;;;;;;;ZEROIZE Switch Cover - OPEN/CLOSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3001pnilu3001cd27vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;Accelerometer Reset Button;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3001unilcd28vdnilvp-0.05vunil;;;;;;;;;;;;;;;;;;;;Airspeed/Mach Indicator Index Setting Pointer Knob - CCW/Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3001unilcd28vdnilvp0.05vunil;;;;;;;;;;;;;;;;;;;;Airspeed/Mach Indicator Index Setting Pointer Knob - CW/Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3002pnilu3002cd31vd-1vpnilvu0;;;;;;;;;;;;;;;;;;;;Altimeter Mode Control Lever - ELECT(rical);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3001pnilu3001cd31vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;Altimeter Mode Control Lever - PNEU(matic);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3017unilcd17vdnilvp-0.3vunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Bright Knob - CCW/Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3017unilcd17vdnilvp0.3vunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Bright Knob - CW/Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3023unilcd17vdnilvp-0.3vunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Cursor Knob - CCW/Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3023unilcd17vdnilvp0.3vunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Cursor Knob - CW/Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp91unilcdnilvdnilvp-1vunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Elevation Antenna Tilt Control - CCW/Down;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp90unilcdnilvdnilvp1vunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Elevation Antenna Tilt Control - CW/Up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3005pnilunilcd17vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Mode Selector - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3005pnilunilcd17vd0.2vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Mode Selector - OPER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3005pnilunilcd17vd0.1vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Mode Selector - STBY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3005pnilunilcd17vd0.3vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Mode Selector - TEST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3019unilcd17vdnilvp-0.3vunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Persistence Knob - CCW/Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3019unilcd17vdnilvp0.3vunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Persistence Knob - CW/Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3025unilcd17vdnilvp-0.3vunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Pitch Knob - CCW/Down;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3025unilcd17vdnilvp0.3vunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Pitch Knob - CW/Up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3004pnilunilcd17vd0.1vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Range Selector - 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3004pnilunilcd17vd0.2vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Range Selector - 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3004pnilunilcd17vd0.3vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Range Selector - 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3013pnilunilcd17vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Range Selector - CCW/Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3015unilcd17vdnilvp-0.3vunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Scale Knob - CCW/Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3015unilcd17vdnilvp0.3vunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Scale Knob - CW/Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d142pnilu142cdnilvd-1vpnilvu0;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar TDC Button - Down;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d139pnilu139cdnilvd-1vpnilvu0;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar TDC Button - Left;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d140pnilu140cdnilvd1vpnilvu0;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar TDC Button - Right;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d141pnilu141cdnilvd1vpnilvu0;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar TDC Button - Up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3021unilcd17vdnilvp-0.3vunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Video Knob - CCW/Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3021unilcd17vdnilvp0.3vunil;;;;;;;;;;;;;;;;;;;;AN/APQ-159 Radar Video Knob - CW/Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3004pnilunilcd18vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/ASG-31 Sight BIT Switch - BIT 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3013pnilunilcd18vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/ASG-31 Sight BIT Switch - Down;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3004pnilunilcd18vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/ASG-31 Sight BIT Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3013pnilunilcd18vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/ASG-31 Sight BIT Switch - Up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3001pnilunilcd18vd0.2vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/ASG-31 Sight Mode Selector - A/A1 GUNS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3001pnilunilcd18vd0.3vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/ASG-31 Sight Mode Selector - A/A2 GUNS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3008pnilunilcd18vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/ASG-31 Sight Mode Selector - CCW/Left;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3001pnilunilcd18vd0.4vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/ASG-31 Sight Mode Selector - MAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3001pnilunilcd18vd0.1vpnilvunil;;;;;;;;;;;;;;;;;;;;AN/ASG-31 Sight Mode Selector - MSL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3009unilcd18vdnilvp-0.2vunil;;;;;;;;;;;;;;;;;;;;AN/ASG-31 Sight Reticle Depression Knob - CCW/Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3009unilcd18vdnilvp0.2vunil;;;;;;;;;;;;;;;;;;;;AN/ASG-31 Sight Reticle Depression Knob - CW/Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3011unilcd18vdnilvp-0.2vunil;;;;;;;;;;;;;;;;;;;;AN/ASG-31 Sight Reticle Intensity Knob - CCW/Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3011unilcd18vdnilvp0.2vunil;;;;;;;;;;;;;;;;;;;;AN/ASG-31 Sight Reticle Intensity Knob - CW/Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3004pnilunilcd15vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;Armament Position Selector Switch (CENTERLINE) - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3022pnilunilcd15vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;Armament Position Selector Switch (CENTERLINE) - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3003pnilunilcd15vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;Armament Position Selector Switch (LEFT INBD) - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3021pnilunilcd15vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;Armament Position Selector Switch (LEFT INBD) - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3002pnilunilcd15vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;Armament Position Selector Switch (LEFT OUTBD) - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3019pnilunilcd15vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;Armament Position Selector Switch (LEFT WINGTIP) - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3005pnilunilcd15vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;Armament Position Selector Switch (RIGHT INBD) - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3005pnilunilcd15vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;Armament Position Selector Switch (RIGHT INBD) - ON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3023pnilunilcd15vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;Armament Position Selector Switch (RIGHT INBD) - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3024pnilunilcd15vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;Armament Position Selector Switch (RIGHT OUTBD) - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3025pnilunilcd15vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;Armament Position Selector Switch (RIGHT WINGTIP) - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3006pnilu3006cd4vd-1vpnilvu0;;;;;;;;;;;;;;;;;;;;Autobalance Switch - LEFT/NEUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3027pnilunilcd15vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;Bombs Arm Switch - CCW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3009pnilunilcd15vd0.4vpnilvunil;;;;;;;;;;;;;;;;;;;;Bombs Arm Switch - NOSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3009pnilunilcd15vd0.6vpnilvunil;;;;;;;;;;;;;;;;;;;;Bombs Arm Switch - NOSE & TAIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3009pnilunilcd15vd0.2vpnilvunil;;;;;;;;;;;;;;;;;;;;Bombs Arm Switch - SAFE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3009pnilunilcd15vd0.8vpnilvunil;;;;;;;;;;;;;;;;;;;;Bombs Arm Switch - TAIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3001pnilunilcd9vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;Cabin Pressure Switch - DEFOG ONLY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3014pnilunilcd9vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;Cabin Pressure Switch - Down;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3001pnilunilcd9vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;Cabin Pressure Switch - RAM DUMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3002pnilunilcd9vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;Cabin Pressure Switch Cover - CLOSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3002pnilunilcd9vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;Cabin Pressure Switch Cover - OPEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3017unilcd9vdnilvp-1vunil;;;;;;;;;;;;;;;;;;;;Cabin Temperature Knob - CCW/Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3017unilcd9vdnilvp1vunil;;;;;;;;;;;;;;;;;;;;Cabin Temperature Knob - CW/Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3003pnilunilcd9vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;Cabin Temperature Switch - AUTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3003pnilunilcd9vd0.1vpnilvunil;;;;;;;;;;;;;;;;;;;;Cabin Temperature Switch - CENTER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3003pnilunilcd9vd0.2vpnilvunil;;;;;;;;;;;;;;;;;;;;Cabin Temperature Switch - MAN COLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3003pnilunilcd9vd0.4vpnilvunil;;;;;;;;;;;;;;;;;;;;Cabin Temperature Switch - MAN HOT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3019unilcd9vdnilvp-1vunil;;;;;;;;;;;;;;;;;;;;Canopy Defog Knob - CCW/Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp3019unilcd9vdnilvp1vunil;;;;;;;;;;;;;;;;;;;;Canopy Defog Knob - CW/Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3041pnilunilcd3vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;CB 26 VOLT AC POWER - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3041pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB 26 VOLT AC POWER - ON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3158pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB 26 VOLT AC POWER - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3042pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB ATTD & HDG REF SYS A - ON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3159pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB ATTD & HDG REF SYS A - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3046pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB ATTD & HDG REF SYS B - ON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3163pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB ATTD & HDG REF SYS B - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3051pnilunilcd3vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;CB ATTD & HDG REF SYS C - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3168pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB ATTD & HDG REF SYS C - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3147pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB CABIN AIR VALVES - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3166pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB CABIN COND - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3151pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB CAUTION & WARN LIGHTS-DIM - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3160pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB CENTRAL AIR DATA COMPUTER - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3144pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB EMERGENCY ALL JETTISON - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3161pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB ENG IGN L ENG INST & HYD IND - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3167pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB FUEL QTY PRIMARY - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3172pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB IGNITION INVERTER POWER - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3148pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB INST LIGHTS - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3143pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB JETTISON CONTROL - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3054pnilunilcd3vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;CB L BOOST CL & TIP TANK FUEL CONT - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3054pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB L BOOST CL & TIP TANK FUEL CONT - ON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3171pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB L BOOST CL & TIP TANK FUEL CONT - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3165pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB L ENG AUX DOOR - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3056pnilunilcd3vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;CB L ENG START & AB CONT - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3056pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB L ENG START & AB CONT - ON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3173pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB L ENG START & AB CONT - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3153pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB LDG-TAXI LAMP PWR - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3141pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB LEFT AIM-9 CONT - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3154pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB LEFT AIM-9 POWER - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3156pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB LEFT GUN FIRING - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
